customer_id,customer_city,customer_state
0,franca,SP
1,sao bernardo do campo,SP
2,sao paulo,SP
3,mogi das cruzes,SP
4,campinas,SP
5,jaragua do sul,SC
6,sao paulo,SP
7,timoteo,MG
8,curitiba,PR
9,belo horizonte,MG
10,montes claros,MG
11,rio de janeiro,RJ
12,lencois paulista,SP
13,sao paulo,SP
14,caxias do sul,RS
15,piracicaba,SP
16,rio de janeiro,RJ
17,guarulhos,SP
18,sao paulo,SP
19,pacaja,PA
20,florianopolis,SC
21,aparecida de goiania,GO
22,sao paulo,SP
23,curitiba,PR
24,sao paulo,SP
25,santo andre,SP
26,goiania,GO
27,sao paulo,SP
28,cachoeiro de itapemirim,ES
29,sao paulo,SP
30,sao jose dos campos,SP
31,sao roque,SP
32,camacari,BA
33,resende,RJ
34,curitiba,PR
35,sumare,SP
36,guarulhos,SP
37,novo hamburgo,RS
38,sao luis,MA
39,sao jose,SC
40,guarulhos,SP
41,santa barbara,MG
42,sao paulo,SP
43,guarulhos,SP
44,ribeirao preto,SP
45,belo horizonte,MG
46,ituiutaba,MG
47,taquarituba,SP
48,sao jose dos pinhais,PR
49,jaragua do sul,SC
50,sao paulo,SP
51,montes claros,MG
52,barrinha,SP
53,rio de janeiro,RJ
54,parati,RJ
55,dourados,MS
56,sao paulo,SP
57,trindade,GO
58,cascavel,PR
59,fortaleza,CE
60,brasilia,DF
61,sao paulo,SP
62,pelotas,RS
63,porto alegre,RS
64,rio de janeiro,RJ
65,salto,SP
66,belo horizonte,MG
67,jundiai,SP
68,cachoeiro de itapemirim,ES
69,cacapava,SP
70,fortaleza,CE
71,sao vicente,SP
72,uberlandia,MG
73,botelhos,MG
74,sao goncalo,RJ
75,sao paulo,SP
76,sao paulo,SP
77,araucaria,PR
78,sao vicente,SP
79,nova iguacu,RJ
80,sao paulo,SP
81,areia branca,RN
82,sao paulo,SP
83,campos dos goytacazes,RJ
84,sao carlos,SP
85,sao paulo,SP
86,itajuba,MG
87,porto alegre,RS
88,sao bernardo do campo,SP
89,salto,SP
90,cruz das almas,BA
91,vassouras,RJ
92,feira de santana,BA
93,sao paulo,SP
94,brasilia,DF
95,sao carlos,SP
96,sao paulo,SP
97,sao paulo,SP
98,niteroi,RJ
99,sao luis,MA
100,sao paulo,SP
101,sao paulo,SP
102,jaragua do sul,SC
103,sobral,CE
104,divinopolis,MG
105,mogi das cruzes,SP
106,brasilia,DF
107,sao paulo,SP
108,sao paulo,SP
109,paraiba do sul,RJ
110,paulista,PE
111,sao paulo,SP
112,carapicuiba,SP
113,sao paulo,SP
114,bom principio,RS
115,sao paulo,SP
116,astolfo dutra,MG
117,curitiba,PR
118,belo horizonte,MG
119,marialva,PR
120,sao paulo,SP
121,sao jose do rio preto,SP
122,cabo frio,RJ
123,contagem,MG
124,uberlandia,MG
125,cafeara,PR
126,porto alegre,RS
127,sao joaquim da barra,SP
128,foz do iguacu,PR
129,belo horizonte,MG
130,sao bernardo do campo,SP
131,sao goncalo,RJ
132,suzano,SP
133,guarulhos,SP
134,timbo,SC
135,camboriu,SC
136,nova bassano,RS
137,rio grande,RS
138,brasilia,DF
139,braganca paulista,SP
140,barra do garcas,MT
141,sao paulo,SP
142,embu,SP
143,sao bernardo do campo,SP
144,brasilia,DF
145,urussanga,SC
146,silvianopolis,MG
147,sao paulo,SP
148,gameleiras,MG
149,belem,PA
150,pocos de caldas,MG
151,contagem,MG
152,santos,SP
153,piracaia,SP
154,rio de janeiro,RJ
155,santos,SP
156,sinop,MT
157,guaruja,SP
158,barueri,SP
159,sao paulo,SP
160,feliz,RS
161,sao paulo,SP
162,belo horizonte,MG
163,jambeiro,SP
164,sao jose do rio preto,SP
165,ipatinga,MG
166,tupa,SP
167,sao paulo,SP
168,brasilia,DF
169,blumenau,SC
