geolocation_city,geolocation_state
sao paulo,SP
são paulo,SP
sao bernardo do campo,SP
são paulo,RN
jundiaí,SP
taboão da serra,SP
sao paulo,AC
sãopaulo,SP
sp,SP
sa£o paulo,SP
sao jose dos campos,SP
osasco,SP
carapicuíba,SP
carapicuiba,SP
barueri,SP
santana de parnaiba,SP
pirapora do bom jesus,SP
santana de parnaíba,SP
jandira,SP
itapevi,SP
cotia,SP
taboao da serra,SP
vargem grande paulista,SP
embu das artes,SP
itapecerica da serra,SP
embu,SP
são lourenço da serra,SP
sao lourenco da serra,SP
embu-guacu,SP
embu-guaçu,SP
embu guaçu,SP
juquitiba,SP
embu guacu,SP
embuguacu,SP
guarulhos,SP
adamantina,SP
guarulhos-sp,SP
aruja,SP
arujá,SP
santa isabel,SP
mairipora,SP
mairiporã,SP
cajamar,SP
caieiras,SP
jordanesia,SP
polvilho,SP
mauá,SP
jordanésia,SP
franco da rocha,SP
francisco morato,SP
poa,SP
itaquaquecetuba,SP
ferraz de vasconcelos,SP
poá,SP
suzano,SP
mogi das cruzes,SP
mogidascruzes,SP
salesopolis,SP
biritiba-mirim,SP
guararema,SP
salesópolis,SP
biritiba mirim,SP
santo andre,SP
santo andré,SP
maua,SP
ribeirão pires,SP
ribeirao pires,SP
rio grande da serra,SP
sao caetano do sul,SP
são caetano do sul,SP
são bernardo do campo,SP
sbcampo,SP
diadema,SP
santos,SP
bertioga,SP
caruara,SP
sao vicente,SP
são vicente,SP
guarujá,SP
guaruja,SP
cubatao,SP
cubatão,SP
sao sebastiao,SP
ubatuba,SP
ilhabela,SP
caraguatatuba,SP
são sebastião,SP
maresias,SP
sao francisco da praia,SP
são francisco da praia,SP
mongagua,SP
praia grande,SP
mongaguá,SP
itanhaem,SP
peruibe,SP
itariri,SP
pedro de toledo,SP
itanhaém,SP
peruíbe,SP
ana dias,SP
miracatu,SP
juquia,SP
juquiá,SP
pariquera-acu,SP
cajati,SP
registro,SP
jacupiranga,SP
ilha comprida,SP
barra do turvo,SP
eldorado,SP
iguape,SP
cananéia,SP
cananeia,SP
sete barras,SP
pariquera-açu,SP
taubate,SP
taubaté,SP
natividade da serra,SP
tremembe,SP
lagoinha,SP
tremembé,SP
redencao da serra,SP
catucaba,SP
sao luiz do paraitinga,SP
sao luis do paraitinga,SP
são luiz do paraitinga,SP
são josé dos campos,SP
cacapava,SP
paraibuna,SP
caçapava,SP
jambeiro,SP
monteiro lobato,SP
sao francisco xavier,SP
são francisco xavier,SP
jacarei,SP
jacareí,SP
santa branca,SP
igarata,SP
igaratá,SP
pindamonhangaba,SP
são bento do sapucaí,SP
campos do jordao,SP
sao bento do sapucai,SP
santo antonio do pinhal,SP
campos do jordão,SP
santo antônio do pinhal,SP
guaratingueta,SP
potim,SP
guaratinguetá,SP
aparecida,SP
cunha,SP
roseira,SP
campos de cunha,SP
lorena,SP
cachoeira paulista,SP
piquete,SP
silveiras,SP
canas,SP
cruzeiro,SP
lavrinhas,SP
arapeí,SP
queluz,SP
arapei,SP
bananal,SP
sao jose do barreiro,SP
são josé do barreiro,SP
areias,SP
atibaia,SP
braganca paulista,SP
bom jesus dos perdoes,SP
piracaia,SP
bom jesus dos perdões,SP
pedra bela,SP
bragança paulista,SP
joanopolis,SP
vargem,SP
nazaré paulista,SP
nazare paulista,SP
joanópolis,SP
pinhalzinho,SP
tuiuti,SP
campinas,SP
artur nogueira,SP
hortolandia,SP
paulinia,SP
sumare,SP
cosmopolis,SP
monte mor,SP
hortolândia,SP
sumaré,SP
cosmópolis,SP
paulínia,SP
engenheiro coelho,SP
itatiba,SP
vinhedo,SP
jundiai,SP
valinhos,SP
varzea paulista,SP
louveira,SP
jarinu,SP
campo limpo paulista,SP
morungaba,SP
itupeva,SP
várzea paulista,SP
indaiatuba,SP
capivari,SP
salto,SP
itu,SP
nova odessa,SP
cabreuva,SP
elias fausto,SP
rafard,SP
rio das pedras,SP
jacare,SP
cabreúva,SP
mombuca,SP
