product_id,product_category_name,product_name,product_price
1,Category Extra 68,Dell Product Model 68,1139.87
2,Category Extra 89,Apple Product Model 89,1848.39
3,Category Extra 97,Samsung Product Model 97,1033.54
4,Category Extra 66,Asus Product Model 66,28.68
5,Category Extra 89,Adidas Product Model 89,1398.83
6,Category Extra 51,Canon Product Model 51,1065.7
7,Backpacks,Philips Laptop Backpack,423.9
8,Category Extra 84,Bosch Product Model 84,1878.2
9,Laptops,Puma ZenBook,2397.87
10,Category Extra 57,KitchenAid Product Model 57,1991.79
11,Category Extra 78,Apple Product Model 78,1744.45
12,Backpacks,Asus Hiking Backpack,375.51
13,Beauty,Philips Face Serum,2623.36
14,Coffee,HP Espresso Beans,2163.44
15,Televisions,Apple OLED TV,438.33
16,Category Extra 79,Sony Product Model 79,615.1
17,Automotive,Adidas Car Vacuum,1502.95
18,Category Extra 52,Bosch Product Model 52,1140.17
19,Keyboards,LG Mechanical Keyboard,2864.49
20,Category Extra 87,Canon Product Model 87,911.55
21,Tea,Canon Green Tea,314.26
22,Desks,Dell Writing Desk,630.7
23,Jeans,Lenovo Straight Jeans,2794.24
24,Televisions,LG OLED TV,1187.19
25,Smartphones,Apple Xiaomi,2811.86
26,Beds,Philips Queen Bed Frame,432.65
27,Board Games,Asus Family Board Game,1409.09
28,Category Extra 75,Nike Product Model 75,1211.15
29,Category Extra 79,Bosch Product Model 79,1837.9
30,Category Extra 62,Apple Product Model 62,2738.07
31,Office Chairs,Apple Mesh Chair,62.97
32,Beauty,Adidas Lipstick,1613.71
33,Board Games,KitchenAid Family Board Game,2349.2
34,Category Extra 78,Apple Product Model 78,1114.46
35,Category Extra 78,Lenovo Product Model 78,395.93
36,Category Extra 79,Adidas Product Model 79,2582.78
37,Category Extra 71,HP Product Model 71,2490.52
38,Category Extra 58,Philips Product Model 58,1448.91
39,Perfume,Asus Eau de Parfum,1050.21
40,Beauty,Puma Moisturizer,74.5
41,Category Extra 85,Lenovo Product Model 85,2356.66
42,Office Supplies,Canon Notebook,318.41
43,Keyboards,Dell Wireless Keyboard,1548.52
44,Televisions,Sony QLED TV,2440.77
45,Jeans,KitchenAid Skinny Jeans,2831.14
46,Category Extra 63,Bosch Product Model 63,1462.84
47,Category Extra 68,Philips Product Model 68,1488.58
48,Category Extra 81,Canon Product Model 81,2852.69
49,Garden,Sony Plant Pot,2004.26
50,Category Extra 73,Samsung Product Model 73,1314.16
51,Category Extra 65,Samsung Product Model 65,2328.98
52,Category Extra 80,Puma Product Model 80,2450.91
53,Beds,KitchenAid Platform Bed,1613.31
54,Coffee,Puma Espresso Beans,952.78
55,Toys,Bosch Puzzle Set,1268.44
56,Gaming,Puma Gaming Controller,2473.51
57,Microwaves,Canon Convection Microwave,340.99
58,Category Extra 64,Bosch Product Model 64,1788.88
59,Category Extra 96,HP Product Model 96,781.85
